sequence,fit_budget,method,failure_reason,count
V1_01_easy,16,Raw,INSUFFICIENT_TRACKS,6
V1_01_easy,16,Global-DoF,INSUFFICIENT_TRACKS,6
V1_01_easy,16,DPR-Exact-Block,INSUFFICIENT_TRACKS,6
V1_01_easy,16,DUC-K16,INSUFFICIENT_TRACKS,6
V1_01_easy,16,Permuted-K16,INSUFFICIENT_TRACKS,6
V1_01_easy,48,Raw,INSUFFICIENT_TRACKS,6
V1_01_easy,48,Global-DoF,INSUFFICIENT_TRACKS,6
V1_01_easy,48,DPR-Exact-Block,INSUFFICIENT_TRACKS,6
V1_01_easy,48,DUC-K16,INSUFFICIENT_TRACKS,6
V1_01_easy,48,Permuted-K16,INSUFFICIENT_TRACKS,6
V1_02_medium,16,Raw,INSUFFICIENT_TRACKS,23
V1_02_medium,16,Global-DoF,INSUFFICIENT_TRACKS,23
V1_02_medium,16,DPR-Exact-Block,INSUFFICIENT_TRACKS,23
V1_02_medium,16,DUC-K16,INSUFFICIENT_TRACKS,23
V1_02_medium,16,Permuted-K16,INSUFFICIENT_TRACKS,23
V1_02_medium,48,Raw,INSUFFICIENT_TRACKS,23
V1_02_medium,48,Global-DoF,INSUFFICIENT_TRACKS,23
V1_02_medium,48,DPR-Exact-Block,INSUFFICIENT_TRACKS,23
V1_02_medium,48,DUC-K16,INSUFFICIENT_TRACKS,23
V1_02_medium,48,Permuted-K16,INSUFFICIENT_TRACKS,23
V1_03_difficult,16,Raw,INSUFFICIENT_TRACKS,78
V1_03_difficult,16,Global-DoF,INSUFFICIENT_TRACKS,78
V1_03_difficult,16,DPR-Exact-Block,INSUFFICIENT_TRACKS,78
V1_03_difficult,16,DUC-K16,INSUFFICIENT_TRACKS,78
V1_03_difficult,16,Permuted-K16,INSUFFICIENT_TRACKS,78
V1_03_difficult,48,Raw,INSUFFICIENT_TRACKS,78
V1_03_difficult,48,Global-DoF,INSUFFICIENT_TRACKS,78
V1_03_difficult,48,DPR-Exact-Block,INSUFFICIENT_TRACKS,78
V1_03_difficult,48,DUC-K16,INSUFFICIENT_TRACKS,78
V1_03_difficult,48,Permuted-K16,INSUFFICIENT_TRACKS,78
V2_01_easy,16,Raw,INSUFFICIENT_TRACKS,4
V2_01_easy,16,Global-DoF,INSUFFICIENT_TRACKS,4
V2_01_easy,16,DPR-Exact-Block,INSUFFICIENT_TRACKS,4
V2_01_easy,16,DUC-K16,INSUFFICIENT_TRACKS,4
V2_01_easy,16,Permuted-K16,INSUFFICIENT_TRACKS,4
V2_01_easy,48,Raw,INSUFFICIENT_TRACKS,4
V2_01_easy,48,Global-DoF,INSUFFICIENT_TRACKS,4
V2_01_easy,48,DPR-Exact-Block,INSUFFICIENT_TRACKS,4
V2_01_easy,48,DUC-K16,INSUFFICIENT_TRACKS,4
V2_01_easy,48,Permuted-K16,INSUFFICIENT_TRACKS,4
V2_02_medium,16,Raw,INSUFFICIENT_TRACKS,35
V2_02_medium,16,Global-DoF,INSUFFICIENT_TRACKS,35
V2_02_medium,16,DPR-Exact-Block,INSUFFICIENT_TRACKS,35
V2_02_medium,16,DUC-K16,INSUFFICIENT_TRACKS,35
V2_02_medium,16,Permuted-K16,INSUFFICIENT_TRACKS,35
V2_02_medium,48,Raw,INSUFFICIENT_TRACKS,35
V2_02_medium,48,Global-DoF,INSUFFICIENT_TRACKS,35
V2_02_medium,48,DPR-Exact-Block,INSUFFICIENT_TRACKS,35
V2_02_medium,48,DUC-K16,INSUFFICIENT_TRACKS,35
V2_02_medium,48,Permuted-K16,INSUFFICIENT_TRACKS,35
